Reporter Name,Partner Name,Trade Flow,Indicator,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Kenya,Iraq,Export,Export Partner Share (%),,,,,,,0,0.0046,0.0013,,,0.0034,0.0003,,,0.0295,0.2516,0.1875,0.1466,,,0.0131,,0.0021,0.011,0.0351,0.0205,0.0278,0.0333
Kenya,Ireland,Export,Export Partner Share (%),0.6292,,,,,0.5852,0.3685,0.4453,0.465,0.4208,0.2371,0.4414,0.3013,0.2326,0.3299,0.2942,0.2377,0.2784,0.2596,,,0.2481,,0.2517,0.2188,0.2267,0.2479,0.2884,0.2589
Kenya,Israel,Export,Export Partner Share (%),0.8399,,,,,0.7081,0.7472,0.7637,1.0322,1.0082,0.4083,0.7257,0.4117,0.573,0.3594,0.3991,0.4442,0.4629,0.3775,,,0.2336,,0.2493,0.1841,0.1258,0.1504,0.0994,0.0973
Kenya,Italy,Export,Export Partner Share (%),2.4952,,,,,1.9495,1.488,1.4102,1.2625,0.9279,1.2504,0.8647,0.8925,0.8899,0.7966,0.9392,0.8664,0.7007,0.7938,,,0.9502,,0.9032,0.6458,0.5737,0.6474,0.5841,0.5599
Kenya,Jamaica,Export,Export Partner Share (%),,,,,,,0.0001,0.0001,,0.0005,0.0126,0.0108,0.0219,0.0097,0.0004,0,0.0001,0.0001,,,,0.0007,,0.0092,0.0004,0.0003,0,0,0
Kenya,Japan,Export,Export Partner Share (%),1.0647,,,,,0.7746,0.8103,0.9014,1.2039,1.1071,0.6395,0.7128,0.791,0.7299,0.4992,0.474,0.6788,0.6459,0.5102,,,0.5685,,0.6978,0.7043,0.7582,0.8276,0.918,0.7472
Kenya,Jordan,Export,Export Partner Share (%),0.0855,,,,,0.0561,0.0831,0.1185,0.1438,0.089,0.0647,0.066,0.0171,0.0487,0.0477,0.0734,0.0435,0.0667,0.0398,,,0.0545,,0.1468,0.1832,0.2682,0.2365,0.2249,0.4215
Kenya,Kazakhstan,Export,Export Partner Share (%),,,,,,,,,,,,0.1095,0.325,0.4739,0.4807,0.5462,0.6326,0.6779,0.7004,,,0.9113,,0.4913,0.5238,0.5778,0.4812,0.5422,0.5902
Kenya,Kiribati,Export,Export Partner Share (%),,,,,,,,,,,,,0.0006,,,,,,,,,,,,,,,,
Kenya,"Korea, Dem. Rep.",Export,Export Partner Share (%),,,,,,,0.0069,0.0125,0.0042,0.0048,0.0013,0.003,0.0013,0.0437,0.033,0.0365,0.0018,0.0019,,,,0.0003,,0.0013,0.0068,0.0008,0.0015,0.0003,0.0004
Kenya,"Korea, Rep.",Export,Export Partner Share (%),0.206,,,,,0.2745,0.1544,0.0598,0.1309,0.031,0.0409,0.0347,0.0271,0.091,0.1618,0.1158,0.0609,0.0759,0.0431,,,0.2258,,0.2984,0.3234,0.396,0.4614,0.3949,0.3681
Kenya,Kuwait,Export,Export Partner Share (%),0.0835,,,,,0.0409,0.018,0.0153,0.0377,0.0272,0.0317,0.0295,0.0093,0.013,0.0108,0.0637,0.1012,0.0592,0.1143,,,0.1003,,0.0291,0.1703,0.0378,0.0844,0.0679,0.1282
